Tabelle: 1000A-3022
Personen: Alter (5er-Jahresgruppen) - Familienstand (ausführlich)/Familienstand - Geschlecht;;;;;;;;;;;;;;;;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Deutschland;;01 Schleswig-Holstein;;02 Hamburg;;03 Niedersachsen;;04 Bremen;;05 Nordrhein-Westfalen;;06 Hessen;;07 Rheinland-Pfalz;;08 Baden-Württemberg;;09 Bayern;;10 Saarland;;11 Berlin;;12 Brandenburg;;13 Mecklenburg-Vorpommern;;14 Sachsen;;15 Sachsen-Anhalt;;16 Thüringen;
;;Männlich;407;e;15;e;23;e;21;e;6;e;105;e;37;e;18;e;43;e;50;e;-;;56;e;7;e;4;e;10;e;9;e;3;e
;;Weiblich;144;e;8;e;5;e;14;e;-;;34;e;20;e;7;e;10;e;18;e;3;e;10;e;4;e;3;e;8;e;3;e;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;3111;e;139;e;153;e;283;e;47;e;783;e;251;e;135;e;236;e;368;e;44;e;381;e;83;e;35;e;87;e;54;e;27;e
;;Männlich;1530;e;43;e;88;e;110;e;18;e;375;e;142;e;51;e;108;e;203;e;27;e;248;e;32;e;12;e;36;e;24;e;12;e
;;Weiblich;1580;e;97;e;62;e;172;e;27;e;409;e;108;e;83;e;130;e;168;e;18;e;136;e;54;e;26;e;53;e;28;e;14;e
;Ohne Angabe;Insgesamt;50589;e;1795;e;1381;e;6150;e;216;e;14678;e;6071;e;4146;e;4022;e;3311;e;698;e;853;e;863;e;527;e;2604;e;1133;e;1201;e
;;Männlich;26676;e;893;e;820;e;3120;e;121;e;7846;e;3409;e;2213;e;2111;e;1803;e;328;e;353;e;409;e;268;e;1315;e;563;e;554;e
;;Weiblich;23916;e;899;e;564;e;3027;e;91;e;6835;e;2661;e;1935;e;1909;e;1506;e;373;e;504;e;454;e;256;e;1290;e;573;e;650;e
55 bis 59 Jahre;Insgesamt;Insgesamt;6795249;e;254198;e;130231;e;670561;e;51549;e;1488325;e;506335;e;347176;e;890644;e;1059655;e;87397;e;262948;e;232055;e;138686;e;312934;e;185801;e;175776;e
;;Männlich;3403909;e;125713;e;65136;e;334925;e;25801;e;744353;e;253903;e;173793;e;448796;e;531067;e;43202;e;132168;e;116700;e;69199;e;157734;e;92753;e;88076;e
;;Weiblich;3391338;e;128483;e;65090;e;335634;e;25750;e;743975;e;252430;e;173386;e;441850;e;528589;e;44195;e;130782;e;115353;e;69489;e;155204;e;93050;e;87702;e
;Ledig;Insgesamt;1048109;e;40885;e;32331;e;97692;e;11311;e;212249;e;75347;e;44044;e;126412;e;156041;e;12523;e;70845;e;37060;e;22773;e;51417;e;29447;e;27725;e
;;Männlich;636928;e;23764;e;17810;e;59484;e;6586;e;126769;e;44955;e;27436;e;76288;e;93337;e;7891;e;41384;e;24044;e;14988;e;34033;e;19509;e;18646;e
;;Weiblich;411183;e;17125;e;14521;e;38210;e;4728;e;85477;e;30394;e;16610;e;50123;e;62700;e;4635;e;29463;e;13014;e;7785;e;17381;e;9935;e;9077;e
;Verheiratet;Insgesamt;4379794;e;159458;e;67900;e;439353;e;28825;e;972732;e;328239;e;233082;e;602132;e;704187;e;56548;e;129521;e;146970;e;86748;e;195448;e;117081;e;111575;e
;;Männlich;2192079;e;79550;e;34928;e;219455;e;14570;e;488909;e;165875;e;116612;e;305503;e;355217;e;27719;e;64898;e;71811;e;41955;e;95004;e;56399;e;53666;e
;;Weiblich;2187719;e;79906;e;32969;e;219895;e;14254;e;483824;e;162363;e;116469;e;296630;e;348968;e;28824;e;64625;e;75158;e;44791;e;100447;e;60685;e;57907;e
;Verwitwet;Insgesamt;209694;e;7740;e;3549;e;21461;e;1626;e;45619;e;14963;e;11012;e;24563;e;31016;e;2996;e;7335;e;8077;e;5423;e;10628;e;7374;e;6305;e
;;Männlich;44760;e;1760;e;754;e;4598;e;339;e;10239;e;3094;e;2372;e;5309;e;6478;e;610;e;1527;e;1705;e;1082;e;2108;e;1500;e;1279;e
;;Weiblich;164936;e;5982;e;2797;e;16861;e;1291;e;35380;e;11870;e;8637;e;19256;e;24536;e;2388;e;5806;e;6368;e;4342;e;8523;e;5872;e;5028;e
;Geschieden;Insgesamt;1108465;e;44356;e;24717;e;106954;e;9490;e;244223;e;82175;e;55546;e;133705;e;164359;e;14656;e;52781;e;38845;e;23181;e;53239;e;31005;e;29232;e
;;Männlich;504668;e;19837;e;10643;e;48885;e;4131;e;111397;e;37020;e;25564;e;59768;e;73875;e;6671;e;22892;e;18604;e;10904;e;25494;e;14931;e;14050;e
;;Weiblich;603799;e;24517;e;14073;e;58071;e;5358;e;132825;e;45151;e;29984;e;73939;e;90485;e;7986;e;29891;e;20242;e;12277;e;27743;e;16074;e;15182;e
;Eingetragene Lebenspartnerschaften;Insgesamt;10236;e;375;e;479;e;730;e;102;e;2591;e;836;e;465;e;896;e;1324;e;101;e;1369;e;326;e;135;e;289;e;121;e;92;e
;;Männlich;6024;e;180;e;304;e;385;e;64;e;1466;e;512;e;275;e;537;e;799;e;50;e;918;e;184;e;64;e;180;e;50;e;50;e
;;Weiblich;4216;e;197;e;172;e;343;e;35;e;1123;e;326;e;192;e;363;e;523;e;50;e;452;e;144;e;70;e;111;e;70;e;43;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;759;e;28;e;31;e;64;e;11;e;207;e;63;e;33;e;63;e;84;e;6;e;97;e;19;e;15;e;23;e;5;e;9;e
;;Männlich;537;e;19;e;24;e;44;e;9;e;131;e;45;e;19;e;46;e;58;e;8;e;83;e;12;e;9;e;21;e;4;e;5;e
;;Weiblich;219;e;7;e;4;e;21;e;3;e;75;e;17;e;15;e;18;e;27;e;-;;16;e;5;e;3;e;3;e;3;e;3;e
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;2562;e;117;e;123;e;245;e;19;e;624;e;216;e;101;e;233;e;273;e;38;e;345;e;72;e;30;e;62;e;44;e;27;e
;;Männlich;1298;e;36;e;65;e;112;e;7;e;319;e;121;e;53;e;116;e;132;e;14;e;228;e;26;e;12;e;36;e;20;e;8;e
;;Weiblich;1266;e;82;e;61;e;131;e;13;e;307;e;96;e;49;e;115;e;142;e;23;e;120;e;48;e;20;e;28;e;25;e;18;e
;Ohne Angabe;Insgesamt;35628;e;1232;e;1103;e;4061;e;161;e;10079;e;4491;e;2893;e;2638;e;2372;e;525;e;655;e;685;e;381;e;1829;e;725;e;812;e
;;Männlich;17620;e;569;e;614;e;1963;e;93;e;5121;e;2277;e;1462;e;1227;e;1166;e;236;e;240;e;309;e;182;e;859;e;338;e;367;e
;;Weiblich;18010;e;666;e;492;e;2100;e;67;e;4959;e;2211;e;1432;e;1408;e;1205;e;292;e;411;e;376;e;196;e;967;e;389;e;446;e
60 bis 64 Jahre;Insgesamt;Insgesamt;6049720;e;215041;e;105528;e;588193;e;44890;e;1305243;e;437939;e;317987;e;783837;e;929606;e;84489;e;219408;e;219143;e;141898;e;298652;e;181418;e;175742;e
;;Männlich;2973862;e;104705;e;51023;e;289054;e;21583;e;640472;e;215689;e;157351;e;387177;e;458060;e;41788;e;108043;e;108600;e;69687;e;145849;e;88194;e;86129;e
;;Weiblich;3075856;e;110332;e;54501;e;299138;e;23310;e;664770;e;222251;e;160637;e;396658;e;471548;e;42703;e;111362;e;110541;e;72214;e;152799;e;93227;e;89609;e
;Ledig;Insgesamt;677369;e;25849;e;20967;e;64392;e;7607;e;140009;e;49606;e;29746;e;85301;e;102291;e;9075;e;44033;e;21420;e;14293;e;29620;e;16967;e;16191;e
;;Männlich;410799;e;15477;e;11639;e;39994;e;4285;e;83614;e;29715;e;18743;e;50638;e;61281;e;5781;e;25773;e;13792;e;9402;e;19154;e;10950;e;10560;e
;;Weiblich;266572;e;10370;e;9330;e;24395;e;3324;e;56398;e;19894;e;11001;e;34663;e;41014;e;3292;e;18257;e;7631;e;4894;e;10466;e;6014;e;5626;e
;Verheiratet;Insgesamt;4033025;e;139819;e;56438;e;397240;e;25964;e;874959;e;291419;e;220073;e;541804;e;636847;e;56072;e;114233;e;146282;e;93384;e;198569;e;120689;e;119237;e
;;Männlich;2038307;e;70206;e;28739;e;200192;e;13052;e;443658;e;148366;e;111571;e;276337;e;323415;e;28289;e;57970;e;73639;e;46465;e;97897;e;59460;e;59051;e
;;Weiblich;1994721;e;69610;e;27696;e;197050;e;12914;e;431302;e;143055;e;108501;e;265470;e;313429;e;27781;e;56264;e;72642;e;46919;e;100673;e;61228;e;60184;e
;Verwitwet;Insgesamt;358621;e;12583;e;5849;e;36046;e;2769;e;78175;e;24773;e;18637;e;40685;e;52238;e;5395;e;11761;e;14499;e;10184;e;19525;e;13543;e;11962;e
;;Männlich;71810;e;2542;e;1126;e;7211;e;547;e;16252;e;4855;e;3817;e;7931;e;10158;e;1140;e;2328;e;3030;e;2162;e;3630;e;2747;e;2337;e
;;Weiblich;286813;e;10039;e;4726;e;28833;e;2223;e;61924;e;19916;e;14823;e;32749;e;42079;e;4258;e;9435;e;11466;e;8023;e;15898;e;10797;e;9622;e
;Geschieden;Insgesamt;942967;e;35408;e;20922;e;86466;e;8351;e;201881;e;67900;e;46813;e;113044;e;135141;e;13431;e;47704;e;36090;e;23521;e;49131;e;29527;e;27647;e
;;Männlich;434709;e;15839;e;8753;e;39758;e;3605;e;92071;e;30743;e;21945;e;50861;e;61692;e;6328;e;20975;e;17768;e;11425;e;24336;e;14720;e;13880;e
;;Weiblich;508261;e;19565;e;12167;e;46706;e;4749;e;109807;e;37154;e;24866;e;62182;e;73450;e;7100;e;26731;e;18325;e;12093;e;24793;e;14804;e;13764;e
;Eingetragene Lebenspartnerschaften;Insgesamt;6893;e;245;e;332;e;552;e;64;e;1766;e;490;e;342;e;633;e;869;e;71;e;843;e;241;e;124;e;180;e;84;e;57;e
;;Männlich;3996;e;111;e;208;e;293;e;29;e;917;e;309;e;205;e;360;e;526;e;41;e;591;e;136;e;71;e;120;e;43;e;42;e
;;Weiblich;2895;e;131;e;127;e;261;e;33;e;847;e;185;e;140;e;276;e;339;e;32;e;250;e;108;e;51;e;59;e;43;e;18;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;704;e;27;e;24;e;55;e;9;e;203;e;47;e;41;e;71;e;62;e;7;e;96;e;23;e;9;e;19;e;5;e;10;e
;;Männlich;462;e;19;e;18;e;34;e;3;e;140;e;28;e;22;e;41;e;40;e;7;e;75;e;15;e;5;e;11;e;3;e;6;e
;;Weiblich;239;e;11;e;3;e;18;e;4;e;64;e;19;e;22;e;28;e;23;e;3;e;23;e;11;e;7;e;6;e;3;e;3;e
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;1369;e;48;e;71;e;142;e;20;e;358;e;112;e;49;e;110;e;132;e;14;e;203;e;39;e;25;e;31;e;16;e;6;e
;;Männlich;704;e;20;e;47;e;58;e;10;e;174;e;64;e;18;e;46;e;77;e;7;e;135;e;12;e;9;e;13;e;13;e;3;e
;;Weiblich;662;e;31;e;24;e;83;e;7;e;182;e;47;e;30;e;59;e;58;e;4;e;67;e;28;e;14;e;14;e;5;e;4;e
;Ohne Angabe;Insgesamt;28765;e;1070;e;921;e;3307;e;106;e;7895;e;3593;e;2289;e;2193;e;2022;e;430;e;533;e;550;e;360;e;1578;e;586;e;635;e
;;Männlich;13077;e;496;e;497;e;1514;e;56;e;3647;e;1610;e;1034;e;961;e;865;e;199;e;196;e;213;e;146;e;689;e;254;e;258;e
;;Weiblich;15689;e;573;e;424;e;1792;e;51;e;4247;e;1982;e;1256;e;1229;e;1155;e;234;e;333;e;335;e;211;e;892;e;335;e;381;e
65 bis 69 Jahre;Insgesamt;Insgesamt;5010077;e;176215;e;81284;e;483903;e;37562;e;1060457;e;355163;e;264720;e;631363;e;743394;e;71280;e;176204;e;188143;e;128284;e;282198;e;167051;e;162727;e
;;Männlich;2403223;e;84078;e;38288;e;234177;e;17574;e;506706;e;171116;e;128496;e;303647;e;357857;e;34529;e;83259;e;91327;e;61673;e;133306;e;79276;e;77827;e
;;Weiblich;2606851;e;92136;e;42996;e;249728;e;19986;e;553755;e;184051;e;136226;e;327717;e;385536;e;36754;e;92942;e;96818;e;66612;e;148891;e;87777;e;84899;e
;Ledig;Insgesamt;402965;e;15403;e;12310;e;38153;e;4813;e;83235;e;29191;e;18229;e;50349;e;60900;e;5661;e;26287;e;12020;e;8539;e;18181;e;10183;e;9519;e
;;Männlich;235661;e;9228;e;6725;e;23545;e;2687;e;47914;e;17408;e;11020;e;28435;e;35299;e;3459;e;14713;e;7270;e;5263;e;10773;e;6110;e;5811;e
;;Weiblich;167303;e;6176;e;5588;e;14610;e;2123;e;35319;e;11786;e;7207;e;21915;e;25596;e;2199;e;11572;e;4752;e;3272;e;7405;e;4074;e;3710;e
;Verheiratet;Insgesamt;3382032;e;116223;e;44743;e;330045;e;22112;e;713705;e;239029;e;183993;e;440395;e;513828;e;47883;e;95049;e;128239;e;86351;e;193256;e;113959;e;113223;e
;;Männlich;1749905;e;59649;e;23309;e;170869;e;11424;e;370028;e;124335;e;95800;e;228605;e;267167;e;24906;e;49104;e;66501;e;44322;e;98047;e;58061;e;57776;e
;;Weiblich;1632129;e;56571;e;21432;e;159175;e;10686;e;343675;e;114698;e;88196;e;211788;e;246661;e;22979;e;45949;e;61740;e;42025;e;95207;e;55899;e;55450;e
;Verwitwet;Insgesamt;518909;e;17849;e;7879;e;50870;e;3945;e;113393;e;35278;e;27055;e;58485;e;73602;e;7982;e;17110;e;20823;e;14916;e;31238;e;20272;e;18215;e
;;Männlich;102233;e;3660;e;1487;e;10461;e;748;e;22808;e;6764;e;5492;e;10986;e;13735;e;1656;e;3355;e;4390;e;3099;e;5848;e;4031;e;3707;e
;;Weiblich;416675;e;14190;e;6394;e;40411;e;3199;e;90586;e;28511;e;21563;e;47494;e;59864;e;6328;e;13751;e;16435;e;11816;e;25391;e;16237;e;14507;e
;Geschieden;Insgesamt;683061;e;25788;e;15443;e;62405;e;6545;e;143705;e;49061;e;33768;e;80346;e;93182;e;9418;e;36762;e;26508;e;18190;e;38432;e;22232;e;21273;e
;;Männlich;305506;e;11135;e;6314;e;28328;e;2649;e;63124;e;21511;e;15500;e;34904;e;40837;e;4358;e;15562;e;12961;e;8874;e;18206;e;10909;e;10338;e
;;Weiblich;377559;e;14655;e;9131;e;34078;e;3900;e;80582;e;27547;e;18265;e;45442;e;52341;e;5063;e;21203;e;13546;e;9319;e;20228;e;11326;e;10936;e
;Eingetragene Lebenspartnerschaften;Insgesamt;4159;e;194;e;221;e;327;e;60;e;1049;e;278;e;198;e;410;e;536;e;39;e;493;e;117;e;57;e;95;e;38;e;46;e
;;Männlich;2390;e;93;e;138;e;157;e;27;e;592;e;161;e;110;e;223;e;328;e;23;e;329;e;57;e;27;e;67;e;23;e;33;e
;;Weiblich;1768;e;101;e;86;e;173;e;34;e;459;e;118;e;88;e;185;e;208;e;12;e;167;e;60;e;27;e;25;e;13;e;14;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;642;e;30;e;37;e;61;e;9;e;169;e;50;e;21;e;50;e;73;e;3;e;71;e;19;e;6;e;18;e;8;e;9;e
;;Männlich;418;e;17;e;18;e;43;e;5;e;116;e;36;e;12;e;26;e;54;e;3;e;51;e;9;e;3;e;12;e;7;e;6;e
;;Weiblich;225;e;16;e;17;e;20;e;6;e;56;e;16;e;11;e;23;e;21;e;4;e;17;e;9;e;5;e;9;e;3;e;4;e
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;601;e;28;e;30;e;50;e;14;e;166;e;44;e;26;e;48;e;53;e;5;e;83;e;14;e;8;e;5;e;11;e;11;e
;;Männlich;310;e;14;e;19;e;15;e;5;e;91;e;28;e;12;e;20;e;29;e;-;;49;e;6;e;6;e;4;e;9;e;6;e
;;Weiblich;293;e;16;e;10;e;34;e;7;e;78;e;18;e;12;e;28;e;23;e;6;e;31;e;10;e;5;e;3;e;4;e;9;e
;Ohne Angabe;Insgesamt;17708;e;696;e;626;e;1988;e;64;e;5033;e;2240;e;1429;e;1287;e;1223;e;287;e;345;e;399;e;217;e;978;e;339;e;427;e
;;Männlich;6809;e;281;e;282;e;753;e;32;e;2034;e;874;e;546;e;445;e;406;e;122;e;94;e;135;e;74;e;353;e;123;e;155;e
;;Weiblich;10901;e;414;e;342;e;1230;e;32;e;3001;e;1364;e;881;e;841;e;819;e;164;e;250;e;265;e;147;e;628;e;220;e;275;e
70 bis 74 Jahre;Insgesamt;Insgesamt;4216705;e;157720;e;73086;e;418295;e;33215;e;876082;e;311939;e;219763;e;529038;e;635001;e;59691;e;158413;e;141838;e;95160;e;241295;e;133989;e;132166;e
;;Männlich;1965144;e;74187;e;33009;e;199263;e;15106;e;405408;e;145653;e;104716;e;247847;e;296876;e;28505;e;70866;e;66829;e;44665;e;109936;e;60934;e;61323;e
;;Weiblich;2251558;e;83536;e;40075;e;219031;e;18111;e;470671;e;166282;e;115050;e;281189;e;338127;e;31184;e;87550;e;75008;e;50494;e;131356;e;73053;e;70842;e
;Ledig;Insgesamt;238052;e;9073;e;7772;e;21842;e;2937;e;47012;e;17282;e;10583;e;30137;e;39371;e;3417;e;17028;e;6035;e;4309;e;10259;e;5466;e;5521;e
;;Männlich;133644;e;5579;e;4140;e;13555;e;1651;e;26025;e;9951;e;6245;e;16340;e;22237;e;2040;e;8998;e;3380;e;2259;e;5379;e;2904;e;2959;e
;;Weiblich;104406;e;3494;e;3633;e;8287;e;1288;e;20985;e;7333;e;4338;e;13798;e;17138;e;1379;e;8028;e;2658;e;2047;e;4877;e;2559;e;2563;e
;Verheiratet;Insgesamt;2776374;e;102735;e;40357;e;279530;e;19393;e;573603;e;206365;e;148784;e;358983;e;422029;e;38546;e;85901;e;95020;e;63280;e;162745;e;89419;e;89680;e
;;Männlich;1486626;e;54867;e;21616;e;151042;e;10286;e;306627;e;110860;e;80795;e;192562;e;226614;e;21114;e;45002;e;50998;e;34131;e;85248;e;47168;e;47697;e
;;Weiblich;1289749;e;47870;e;18738;e;128487;e;9103;e;266978;e;95503;e;67990;e;166418;e;195416;e;17433;e;40896;e;44024;e;29147;e;77500;e;42252;e;41985;e
;Verwitwet;Insgesamt;699851;e;25332;e;11162;e;69336;e;5404;e;151652;e;50431;e;36485;e;81376;e;102986;e;10756;e;24502;e;24137;e;16891;e;41380;e;24931;e;23087;e
;;Männlich;135666;e;5355;e;2178;e;14231;e;1056;e;29869;e;9540;e;7351;e;15135;e;19101;e;2198;e;4796;e;4846;e;3306;e;7598;e;4663;e;4447;e
;;Weiblich;564183;e;19975;e;8982;e;55109;e;4346;e;121780;e;40892;e;29130;e;66237;e;83886;e;8562;e;19707;e;19293;e;13588;e;33779;e;20269;e;18638;e
;Geschieden;Insgesamt;488137;e;19929;e;13205;e;46077;e;5385;e;99966;e;36266;e;22838;e;57469;e;69462;e;6766;e;30200;e;16330;e;10497;e;26178;e;13947;e;13617;e
;;Männlich;203630;e;8126;e;4800;e;19941;e;2058;e;41407;e;14700;e;9940;e;23403;e;28451;e;3065;e;11644;e;7498;e;4898;e;11454;e;6130;e;6124;e
;;Weiblich;284505;e;11806;e;8408;e;26140;e;3327;e;58558;e;21568;e;12895;e;34069;e;41008;e;3702;e;18557;e;8836;e;5600;e;14722;e;7819;e;7494;e
;Eingetragene Lebenspartnerschaften;Insgesamt;2863;e;150;e;141;e;221;e;46;e;681;e;195;e;134;e;263;e;373;e;24;e;384;e;76;e;61;e;70;e;24;e;23;e
;;Männlich;1634;e;66;e;89;e;106;e;25;e;373;e;124;e;75;e;146;e;216;e;17;e;267;e;35;e;34;e;45;e;11;e;9;e
;;Weiblich;1230;e;82;e;50;e;113;e;18;e;309;e;74;e;58;e;118;e;161;e;5;e;120;e;43;e;27;e;21;e;10;e;13;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;581;e;18;e;29;e;49;e;12;e;132;e;48;e;20;e;46;e;73;e;6;e;93;e;14;e;6;e;19;e;6;e;8;e
;;Männlich;357;e;8;e;17;e;27;e;11;e;91;e;26;e;9;e;30;e;39;e;3;e;63;e;10;e;3;e;11;e;4;e;-;
;;Weiblich;228;e;12;e;10;e;24;e;5;e;40;e;22;e;7;e;14;e;33;e;3;e;29;e;6;e;-;;8;e;3;e;6;e
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;290;e;15;e;17;e;35;e;6;e;61;e;22;e;7;e;22;e;36;e;4;e;47;e;4;e;4;e;6;e;6;e;-;
;;Männlich;178;e;8;e;16;e;16;e;3;e;35;e;17;e;5;e;13;e;24;e;4;e;30;e;-;;-;;6;e;-;;-;
;;Weiblich;109;e;7;e;5;e;20;e;-;;24;e;7;e;3;e;12;e;9;e;-;;15;e;-;;-;;3;e;3;e;-;
;Ohne Angabe;Insgesamt;10559;e;462;e;400;e;1205;e;32;e;2976;e;1326;e;910;e;751;e;669;e;170;e;260;e;209;e;110;e;636;e;189;e;235;e
;;Männlich;3410;e;177;e;152;e;351;e;15;e;978;e;442;e;286;e;224;e;196;e;69;e;67;e;65;e;36;e;200;e;52;e;89;e
;;Weiblich;7152;e;287;e;251;e;856;e;21;e;1997;e;885;e;621;e;524;e;474;e;103;e;189;e;146;e;71;e;435;e;139;e;142;e
75 bis 79 Jahre;Insgesamt;Insgesamt;3122252;e;126616;e;62444;e;306977;e;26422;e;647947;e;227371;e;144983;e;390236;e;477151;e;36742;e;130850;e;102285;e;61883;e;185795;e;100482;e;94048;e
;;Männlich;1397042;e;57137;e;27564;e;139527;e;11751;e;287225;e;103230;e;66149;e;176959;e;216574;e;16364;e;57312;e;45080;e;27365;e;80221;e;43274;e;41301;e
;;Weiblich;1725208;e;69482;e;34877;e;167447;e;14673;e;360720;e;124139;e;78832;e;213280;e;260579;e;20379;e;73534;e;57203;e;34521;e;105578;e;57212;e;52745;e
;Ledig;Insgesamt;133813;e;4923;e;4791;e;11564;e;1461;e;26392;e;9478;e;5574;e;17972;e;24071;e;1581;e;9675;e;2882;e;2058;e;5774;e;2927;e;2695;e
;;Männlich;70132;e;2880;e;2428;e;6921;e;821;e;13679;e;5156;e;3078;e;9047;e;12744;e;883;e;4963;e;1474;e;983;e;2511;e;1333;e;1220;e
;;Weiblich;63683;e;2040;e;2365;e;4640;e;638;e;12711;e;4324;e;2498;e;8924;e;11326;e;695;e;4711;e;1407;e;1078;e;3264;e;1595;e;1472;e
;Verheiratet;Insgesamt;1880853;e;76821;e;33142;e;187241;e;14575;e;387517;e;137516;e;88661;e;242392;e;288481;e;21106;e;68015;e;63189;e;37475;e;115798;e;60858;e;58062;e
;;Männlich;1048528;e;42557;e;18627;e;104679;e;8143;e;215679;e;77807;e;50065;e;135607;e;162829;e;11952;e;37767;e;34485;e;20722;e;62412;e;33139;e;32052;e
;;Weiblich;832323;e;34261;e;14515;e;82559;e;6431;e;171837;e;59709;e;38600;e;106783;e;125653;e;9152;e;30250;e;28705;e;16753;e;53382;e;27722;e;26007;e
;Verwitwet;Insgesamt;797216;e;31396;e;14292;e;79842;e;6632;e;172611;e;56779;e;37672;e;93295;e;117811;e;10554;e;30702;e;26590;e;16847;e;48377;e;28409;e;25418;e
;;Männlich;159940;e;6590;e;3023;e;16499;e;1424;e;34329;e;11340;e;7598;e;18395;e;23187;e;2070;e;6501;e;5368;e;3486;e;9409;e;5640;e;5077;e
;;Weiblich;637273;e;24809;e;11268;e;63344;e;5210;e;138279;e;45438;e;30070;e;74899;e;94627;e;8482;e;24199;e;21224;e;13363;e;38968;e;22764;e;20339;e
;Geschieden;Insgesamt;302738;e;13150;e;9832;e;27604;e;3712;e;59443;e;22739;e;12596;e;36000;e;46076;e;3406;e;21851;e;9462;e;5423;e;15525;e;8183;e;7744;e
;;Männlich;115158;e;4974;e;3289;e;11146;e;1343;e;22720;e;8592;e;5215;e;13663;e;17478;e;1407;e;7722;e;3677;e;2140;e;5747;e;3132;e;2911;e
;;Weiblich;187581;e;8177;e;6544;e;16457;e;2369;e;36720;e;14145;e;7383;e;22334;e;28597;e;1996;e;14132;e;5786;e;3281;e;9776;e;5051;e;4835;e
;Eingetragene Lebenspartnerschaften;Insgesamt;2070;e;111;e;122;e;145;e;18;e;409;e;134;e;83;e;194;e;286;e;21;e;354;e;66;e;31;e;66;e;15;e;25;e
;;Männlich;1271;e;48;e;70;e;82;e;9;e;248;e;90;e;50;e;113;e;179;e;11;e;242;e;44;e;17;e;54;e;4;e;12;e
;;Weiblich;803;e;59;e;53;e;60;e;9;e;159;e;46;e;29;e;86;e;109;e;6;e;110;e;20;e;12;e;12;e;10;e;9;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;633;e;35;e;32;e;42;e;11;e;137;e;60;e;24;e;43;e;90;e;9;e;94;e;11;e;8;e;19;e;7;e;5;e
;;Männlich;410;e;17;e;27;e;26;e;10;e;86;e;37;e;19;e;23;e;66;e;3;e;70;e;6;e;4;e;14;e;6;e;6;e
;;Weiblich;222;e;17;e;4;e;20;e;4;e;52;e;19;e;8;e;22;e;27;e;3;e;21;e;5;e;3;e;4;e;3;e;3;e
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;142;e;8;e;13;e;12;e;-;;32;e;15;e;7;e;11;e;11;e;-;;30;e;-;;-;;-;;3;e;-;
;;Männlich;89;e;-;;10;e;7;e;-;;19;e;8;e;-;;8;e;4;e;-;;20;e;-;;5;e;-;;3;e;-;
;;Weiblich;53;e;6;e;-;;3;e;-;;11;e;4;e;3;e;4;e;10;e;-;;6;e;-;;-;;-;;3;e;-;
;Ohne Angabe;Insgesamt;4785;e;179;e;223;e;522;e;15;e;1413;e;652;e;370;e;331;e;322;e;67;e;137;e;81;e;37;e;238;e;82;e;101;e
;;Männlich;1518;e;68;e;89;e;165;e;3;e;463;e;200;e;125;e;105;e;89;e;28;e;32;e;21;e;7;e;70;e;19;e;21;e
;;Weiblich;3266;e;114;e;133;e;354;e;11;e;951;e;450;e;242;e;229;e;235;e;42;e;106;e;63;e;28;e;171;e;61;e;80;e
80 bis 84 Jahre;Insgesamt;Insgesamt;3395607;e;133089;e;62527;e;332944;e;26687;e;697806;e;236869;e;161830;e;428557;e;505013;e;43352;e;133541;e;124858;e;77336;e;209919;e;113401;e;107870;e
;;Männlich;1410180;e;56981;e;25552;e;140730;e;10993;e;286529;e;100127;e;67980;e;181099;e;212687;e;17559;e;54207;e;51200;e;30756;e;84934;e;45364;e;43488;e
;;Weiblich;1985426;e;76110;e;36973;e;192215;e;15700;e;411274;e;136745;e;93846;e;247456;e;292329;e;25796;e;79333;e;73660;e;46578;e;124987;e;68040;e;64384;e
;Ledig;Insgesamt;130608;e;4715;e;4161;e;11303;e;1210;e;25861;e;8456;e;5743;e;17818;e;23690;e;1545;e;7830;e;3311;e;2527;e;6457;e;3146;e;2833;e
;;Männlich;57645;e;2427;e;1791;e;6011;e;538;e;11553;e;4027;e;2774;e;7539;e;10619;e;762;e;3275;e;1341;e;984;e;1958;e;1060;e;981;e
;;Weiblich;72962;e;2287;e;2368;e;5295;e;673;e;14311;e;4430;e;2968;e;10281;e;13069;e;786;e;4559;e;1967;e;1541;e;4499;e;2085;e;1849;e
;Verheiratet;Insgesamt;1708875;e;67525;e;28343;e;168881;e;12585;e;344002;e;121222;e;82173;e;225157;e;254883;e;20360;e;61390;e;64044;e;38082;e;109502;e;56324;e;54399;e
;;Männlich;1004563;e;39725;e;16753;e;99729;e;7353;e;202568;e;72264;e;48696;e;132105;e;152181;e;11985;e;35718;e;36841;e;21915;e;62782;e;32497;e;31452;e
